from,to,similarity
101,281,0.93872
1016,1075,0.92137
105,835,0.90097
878,993,0.92481
842,1168,0.94277
257,483,0.91803
354,643,0.90688
717,1007,0.91208
784,787,0.94076
773,1185,0.91473
365,1058,0.91638
36,37,0.94556
145,1093,0.93035
136,711,0.92161
81,118,0.90333
368,441,0.90525
802,1026,0.90848
876,990,0.9059
877,1188,0.92135
486,534,0.93313
457,874,0.95283
855,892,0.90751
119,559,0.9228
812,1007,0.92448
21,198,0.94727
468,847,0.94332
49,1030,0.90461
423,1127,0.90882
99,342,0.91499
779,922,0.91866
22,351,0.90085
59,1093,0.94231
685,826,0.91501
1149,1159,0.9135
1059,1160,0.95245
746,1138,0.90292
90,721,0.92595
247,252,0.92561
232,237,0.91532
11,489,0.90031
515,628,0.92168
91,705,0.90787
123,1182,0.90085
372,835,0.94694
365,451,0.90635
201,1075,0.91813
311,646,0.91133
74,449,0.9108
372,837,0.91547
756,938,0.90339
820,1073,0.91426
73,214,0.90122
119,1055,0.93974
592,923,0.90493
598,809,0.91062
617,1136,0.93359
189,551,0.92898
95,489,0.92014
463,469,0.90292
343,818,0.91124
154,985,0.96207
189,569,0.92519
732,880,0.92653
1110,1122,0.90895
174,1123,0.91783
968,1093,0.90421
649,953,0.9054
1027,1184,0.91212
15,544,0.92781
131,941,0.9098
394,794,0.90416
779,1176,0.91006
962,1050,0.90002
343,876,0.92255
661,1055,0.94381
954,1082,0.92957
287,862,0.91514
163,250,0.90025
569,1105,0.923
378,564,0.92749
532,980,1.0
647,1008,0.90954
827,997,0.9158
914,1083,0.99999
552,809,0.92996
90,313,0.92116
16,509,0.9056
269,712,0.90434
1058,1144,0.93596
553,578,0.90247
82,181,0.93629
118,1036,0.90216
476,1159,0.9049
415,1138,0.90373
1112,1127,0.92024
431,436,0.9135
424,920,0.90726
196,1128,0.90352
591,830,0.92467
106,1052,0.92862
980,1160,0.93769
876,887,0.91487
95,176,0.93029
11,176,0.91395
35,155,0.94521
365,1144,0.92588
859,929,0.90784
942,977,0.92126
1026,1183,0.91905
219,597,0.90543
20,21,0.90464
901,936,0.93265
818,901,0.91119
474,1189,0.90902
285,1003,0.90119
404,1007,0.9149
118,509,0.90605
458,625,0.90195
352,623,0.90208
13,659,0.90478
758,935,0.90678
218,231,0.9019
923,1007,0.92504
311,885,0.90238
46,916,0.93285
574,607,0.90095
13,184,0.94662
741,876,0.90988
288,1103,0.90023
405,812,0.91957
282,1088,0.92973
196,588,0.95763
610,1093,0.90416
574,762,0.91723
181,1036,0.90994
367,606,0.90861
176,435,0.91851
367,992,0.9094
322,617,0.90193
495,536,0.90895
552,993,0.91843
1082,1113,0.91529
145,386,0.9256
662,789,0.90237
880,1029,0.92917
520,1119,1.0
146,903,0.91302
316,1171,0.96816
81,394,0.90983
102,857,0.90247
806,1071,0.94454
820,1095,0.96729
835,870,0.91864
428,574,1.0
252,787,0.97167
424,966,0.9039
530,828,0.90657
190,993,0.90115
8,473,0.92924
807,900,0.91908
828,1109,0.90169
902,1160,0.90369
891,936,0.90915
54,362,0.90953
380,1151,0.91563
944,1148,0.92241
148,459,0.91122
827,1059,0.95941
176,1114,0.93779
842,1167,0.9487
74,451,0.92683
732,1029,0.90802
741,936,0.93257
78,635,0.90217
819,858,0.94471
294,635,0.91158
21,431,0.90491
569,1138,0.91467
945,1071,0.9128
636,691,0.92594
916,1058,1.0
474,476,0.94006
321,539,0.90356
106,133,0.90131
1029,1119,0.91715
582,887,0.95123
553,1105,0.9415
839,944,0.92787
190,405,0.90417
428,817,1.0
582,767,0.92536
827,846,0.91084
552,832,0.91796
1073,1095,0.92329
19,512,0.90278
67,272,0.91863
1022,1148,0.92267
200,485,0.90908
826,1149,0.90928
479,624,1.0
247,862,0.9183
227,810,0.90346
423,491,0.90378
587,708,0.99992
806,820,0.93638
341,397,0.93181
498,961,0.91414
564,905,1.0
625,870,0.93118
189,1105,0.9155
741,891,0.95968
716,1170,0.90624
98,1056,0.90067
113,592,0.91939
1007,1138,0.95259
21,82,0.92256
252,712,0.90047
313,721,0.90931
574,817,1.0
944,1022,0.92462
430,887,0.91972
283,512,0.92133
291,909,0.91691
189,552,0.92004
394,509,0.91721
871,944,0.91813
372,807,0.91729
520,732,0.93443
539,1104,0.90835
378,926,0.95637
291,662,0.91288
754,858,0.90358
99,1058,0.96171
90,262,0.91756
820,1071,0.95646
58,613,0.91984
636,997,0.90647
738,1141,0.91319
54,1113,0.912
316,816,0.90951
247,785,0.91372
176,489,0.93827
47,710,0.91178
593,821,0.91085
115,198,0.90905
290,493,0.92256
162,515,0.90963
507,1097,0.91421
292,634,0.9093
285,328,0.90639
162,823,0.91238
38,292,0.90658
944,1071,0.93798
827,902,0.92537
835,838,0.91505
1168,1170,0.94007
710,860,0.91215
903,1085,0.97827
23,795,0.93168
832,1007,0.91391
563,751,0.90446
746,878,0.93429
61,1093,0.93954
384,498,0.9112
574,1127,0.96055
230,922,0.90114
552,1164,0.93737
702,970,0.9082
703,1076,0.95305
797,1026,0.92683
812,1158,0.9103
817,1151,0.97246
880,1119,0.9473
1027,1140,0.90673
196,1109,0.92081
838,1138,0.96356
712,976,0.91939
838,893,0.90739
19,367,0.93674
315,983,0.93075
1141,1159,0.92766
56,954,0.91247
123,242,0.90205
10,313,0.91841
851,880,0.90088
553,993,0.91098
1102,1150,0.92113
347,980,0.94187
526,1016,0.90002
228,912,0.9321
372,878,0.91653
196,687,0.93689
372,1151,0.91464
828,1075,0.94284
90,128,0.91322
551,569,0.90991
598,1164,0.94574
26,182,0.92394
82,794,0.90458
189,574,0.90193
15,221,0.92197
162,628,0.92501
196,993,0.91293
252,570,0.91062
290,690,0.9302
842,1169,0.93056
476,851,0.90864
283,488,0.91298
314,1159,0.90421
837,870,0.92893
870,893,0.9223
343,582,0.91364
196,878,0.9003
86,570,0.90959
290,542,0.90813
7,493,0.90184
49,486,0.95642
742,1113,0.90324
667,1164,0.91166
634,1055,0.90781
237,674,0.90257
189,428,0.90199
447,618,0.91118
37,939,0.98499
409,888,1.0
140,331,0.91302
582,876,0.90053
878,1112,0.90567
871,1006,0.90508
208,730,0.91193
664,1182,0.92069
573,902,0.92352
553,832,0.9218
660,1071,0.94149
86,1039,0.91122
741,767,0.91985
423,574,0.91869
119,777,0.94655
126,250,0.90846
837,838,0.92607
85,323,0.90626
217,411,0.91622
253,862,0.90511
10,721,0.9009
838,878,0.93098
73,909,0.91991
404,1138,0.90932
299,980,0.90138
785,787,0.90917
572,829,0.90164
993,1138,0.90093
591,1111,0.92485
406,530,0.903
366,754,0.90978
280,1181,0.91129
794,1036,0.90906
699,1159,0.92248
809,1138,0.92097
830,1160,0.90149
870,1138,0.94908
276,510,0.92598
285,766,0.9005
768,1171,1.0
732,1119,0.93445
2,125,0.90393
101,754,0.94481
201,773,0.92358
690,790,0.94742
494,495,0.94365
541,832,0.93696
372,838,0.94851
656,969,0.90005
871,1095,0.91768
135,1055,0.90704
385,904,0.9453
405,454,0.90184
156,259,0.98789
347,532,0.94191
488,512,0.93298
598,667,0.94207
125,247,0.91974
43,452,0.90132
853,1126,0.93253
787,982,0.904
60,849,0.96646
85,754,0.94037
