index,word,romaji,explanation,properties,examples
0,パチパチ,pachipachi,"crackling, cracking, snapping, popping, clicking; clapping; incessantly (blinking)",popular; onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),囲炉裏の側にいるとぱちぱちという音が聞こえてくる。; 日本には口にいれるとパチパチとはじける飴がある。; 司会者： 盛大な拍手をお願いいたします。観客： パチパチパチパチ(拍手の音)
1,ハラハラ,harahara,"to feel anxious, to feel nervous, to be kept in suspense, to feel excited, to feel thrilled; fluttering down, trickling down (e.g. tears); hanging untidily (of hair), straggling",popular; onomatopoeic or mimetic word; noun or participle taking the aux. verb する; verb (generic); noun (generic); adverb; adverb taking the と particle,偉い人が集まるパーティで自分が失礼なことしないかどうかハラハラする。; 紅葉の季節が終わって葉っぱがハラハラと散り始めた。
2,あっさり,assari,"easily, readily, quickly, flatly (refuse); lightly (seasoned food, applied make-up, etc.), plainly, simply",popular; JLPT N1; onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),このラーメンはすごくあっさりした味。; 白大豆よりこの黒大豆で作られた味噌汁はあっさりしている。; プレイボーイの彼は恋愛に対してとてもあっさりしている。; すごく難しい問題を彼女はあっさりと解いた。; このラーメンは見た目はどろどろしているけど、味はあっさりしている。; 断られるかと思っていたけど、彼女はあっさりプロポーズをOKしてくれた。; このラーメンのスープはあっさりしています。; 彼女はあっさりとしたタイプだ。
3,あべこべ,abekobe,"contrary, opposite, inverse, reverse, back-to-front",popular; JLPT N1; onomatopoeic or mimetic word; noun taking the genitive case particle の; adjective (generic); な adjective; noun; noun (generic),
4,あやふや,ayafuya,"uncertain, vague, ambiguous",popular; JLPT N1; onomatopoeic or mimetic word; な adjective; adjective (generic); noun; noun (generic),
5,いそいそ,isoiso,"cheerfully, joyously, joyfully, happily, lightheartedly, excitedly, eagerly",popular; onomatopoeic or mimetic word; adverb taking the と particle; adverb; noun or participle taking the aux. verb する; verb (generic); noun (generic),
6,うずうず,uzuuzu,"itching to do something, impatient, sorely tempted, eager",popular; onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),
7,うっかり,ukkari,"carelessly, thoughtlessly, inadvertently",popular; JLPT N2; onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),
8,うとうと,utouto,"falling into a doze, dozing off, nodding off",popular; onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),
9,うろうろ,urouro,"restlessly, aimlessly, without purpose; to loiter, to drift, to hang about doing nothing, to wander aimlessly, to be restless; to be restless, to fuss, to be in a fidget",popular; JLPT N2; onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),分娩室に入った妻が心配だが、何もできずに病院をうろうろしている。; 変なおじさんがこの辺をうろうろしているので、気をつけてください。
10,オドオド,odoodo,"timidly, nervously, hesitantly, trembling (with fear), fearfully, anxiously",popular; JLPT N1; onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),あの子ってどうしていつもオドオドしてるの？; あまりに緊張して、たけしはオドオドと話してしまった。
11,おろおろ,orooro,"in confusion, in a fluster, in bewilderment, in a dither, in a panic, all shook up, helplessly; sobbing, tearfully, trembling (voice)",popular; onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),社長の機嫌が悪く秘書は朝からおろおろしている。
12,カッと,kaxtsuto,"flaring up, burning hotly, suddenly becoming bright; flying into a rage, losing one's cool; opening suddenly and widely (e.g. eyes, mouth); acting resolutely",popular; onomatopoeic or mimetic word; adverb; noun or participle taking the aux. verb する; verb (generic); noun (generic); archaic,居眠りしている友達にいたずらしようとしたら突然目をかっと開けたのでびっくりした。; 剛規： また彼女に振られたよ。真一： お前は突然かっとして怒るところがあるからね。剛規： なんだって！？真一： ほらカッとしてるじゃないか！
13,からり,karari,"with a clatter; with a fling (opening a door, window, etc.); bright and clear (weather, sky, etc.), perfectly (fine weather); nicely dry (laundry, air, etc.), crisply (fried, cooked, etc.); cheerfully, frankly, open-heartedly; completely (forget, change, etc.), totally",popular; onomatopoeic or mimetic word; adverb taking the と particle; adverb,昨日までの雨がうそみたいに今日はからりと晴れている。; 小さな海老に衣をたっぷりつけてからりと揚げるととても美味しいおかずになる。
