word,romaji,explanation,properties,examples
パチパチ,pachipachi,"crackling, cracking, snapping, popping, clicking; clapping; incessantly (blinking)",popular; onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),囲炉裏の側にいるとぱちぱちという音が聞こえてくる。; 日本には口にいれるとパチパチとはじける飴がある。; 司会者： 盛大な拍手をお願いいたします。観客： パチパチパチパチ(拍手の音)
ハラハラ,harahara,"to feel anxious, to feel nervous, to be kept in suspense, to feel excited, to feel thrilled; fluttering down, trickling down (e.g. tears); hanging untidily (of hair), straggling",popular; onomatopoeic or mimetic word; noun or participle taking the aux. verb する; verb (generic); noun (generic); adverb; adverb taking the と particle,偉い人が集まるパーティで自分が失礼なことしないかどうかハラハラする。; 紅葉の季節が終わって葉っぱがハラハラと散り始めた。
あっさり,assari,"easily, readily, quickly, flatly (refuse); lightly (seasoned food, applied make-up, etc.), plainly, simply",popular; JLPT N1; onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),このラーメンはすごくあっさりした味。; 白大豆よりこの黒大豆で作られた味噌汁はあっさりしている。; プレイボーイの彼は恋愛に対してとてもあっさりしている。; すごく難しい問題を彼女はあっさりと解いた。; このラーメンは見た目はどろどろしているけど、味はあっさりしている。; 断られるかと思っていたけど、彼女はあっさりプロポーズをOKしてくれた。; このラーメンのスープはあっさりしています。; 彼女はあっさりとしたタイプだ。
あべこべ,abekobe,"contrary, opposite, inverse, reverse, back-to-front",popular; JLPT N1; onomatopoeic or mimetic word; noun taking the genitive case particle の; adjective (generic); な adjective; noun; noun (generic),
あやふや,ayafuya,"uncertain, vague, ambiguous",popular; JLPT N1; onomatopoeic or mimetic word; な adjective; adjective (generic); noun; noun (generic),
いそいそ,isoiso,"cheerfully, joyously, joyfully, happily, lightheartedly, excitedly, eagerly",popular; onomatopoeic or mimetic word; adverb taking the と particle; adverb; noun or participle taking the aux. verb する; verb (generic); noun (generic),
うずうず,uzuuzu,"itching to do something, impatient, sorely tempted, eager",popular; onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),
うっかり,ukkari,"carelessly, thoughtlessly, inadvertently",popular; JLPT N2; onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),
うとうと,utouto,"falling into a doze, dozing off, nodding off",popular; onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),
うろうろ,urouro,"restlessly, aimlessly, without purpose; to loiter, to drift, to hang about doing nothing, to wander aimlessly, to be restless; to be restless, to fuss, to be in a fidget",popular; JLPT N2; onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),分娩室に入った妻が心配だが、何もできずに病院をうろうろしている。; 変なおじさんがこの辺をうろうろしているので、気をつけてください。
オドオド,odoodo,"timidly, nervously, hesitantly, trembling (with fear), fearfully, anxiously",popular; JLPT N1; onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),あの子ってどうしていつもオドオドしてるの？; あまりに緊張して、たけしはオドオドと話してしまった。
おろおろ,orooro,"in confusion, in a fluster, in bewilderment, in a dither, in a panic, all shook up, helplessly; sobbing, tearfully, trembling (voice)",popular; onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),社長の機嫌が悪く秘書は朝からおろおろしている。
カッと,kaxtsuto,"flaring up, burning hotly, suddenly becoming bright; flying into a rage, losing one's cool; opening suddenly and widely (e.g. eyes, mouth); acting resolutely",popular; onomatopoeic or mimetic word; adverb; noun or participle taking the aux. verb する; verb (generic); noun (generic); archaic,居眠りしている友達にいたずらしようとしたら突然目をかっと開けたのでびっくりした。; 剛規： また彼女に振られたよ。真一： お前は突然かっとして怒るところがあるからね。剛規： なんだって！？真一： ほらカッとしてるじゃないか！
からり,karari,"with a clatter; with a fling (opening a door, window, etc.); bright and clear (weather, sky, etc.), perfectly (fine weather); nicely dry (laundry, air, etc.), crisply (fried, cooked, etc.); cheerfully, frankly, open-heartedly; completely (forget, change, etc.), totally",popular; onomatopoeic or mimetic word; adverb taking the と particle; adverb,昨日までの雨がうそみたいに今日はからりと晴れている。; 小さな海老に衣をたっぷりつけてからりと揚げるととても美味しいおかずになる。
がさがさ,gasagasa,"rustling; dry, rough feeling, rough to the touch; rough (of a person), course, crude, unrefined, uncouth; catching fish with a net",popular; onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic); な adjective; adjective (generic); noun taking the genitive case particle の; noun,ボールが草むらに飛んでいたので皆でガサガサと探し回った。; アルバイトの皿洗いが忙しくて初めて三日目で手がガサガサだ。
がっかり,gakkari,"to be disappointed, to be dejected, to be downhearted, to be discouraged, to be disheartened, to lose heart, to feel let down; to feel exhausted, to feel drained",popular; JLPT N3; onomatopoeic or mimetic word; noun or participle taking the aux. verb する; verb (generic); noun (generic); adverb,
がっしり,gasshiri,"firmly, solidly, sturdily, strongly, toughly",popular; JLPT N1; onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),
がっちり,gacchiri,"solid, robust, well-built; tight, taut; shrewd, calculating, astute",popular; JLPT N1; onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),試合が始まる前にキャプテン同士ががっちりと握手を交わした。
がぶがぶ,gabugabu,"gulping down (a drink), guzzling, chugging; sloshing around (of liquid in one's stomach)",popular; onomatopoeic or mimetic word; adverb; adverb taking the と particle; な adjective; adjective (generic),暑いからといって水をガブガブ飲んでいると夏バテになっちゃうよ。; 選手たちはきつい練習で喉が渇いていたので、水をガブガブ飲んだ。
がやがや,gayagaya,"noisily (crowd of people talking), clamorously, in a hubbub, jabberingly, chatteringly, buzzingly; loudly (laughing)",popular; obsolete reading; onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic); archaic,
きちんと,kichinto,"properly, accurately, exactly, precisely, regularly; neatly, tidily, orderly",popular; JLPT N3; onomatopoeic or mimetic word; adverb; noun or participle taking the aux. verb する; verb (generic); noun (generic),お母さん： 遊んだ後はおもちゃをきちんと元あった場所になおしなさい。息子： はーい、きちんとしま～す。; 甘いものを食べた後はきちんと歯を磨きましょう。
きっちり,kicchiri,"exactly, precisely, punctually, on the dot; closely, tightly, (fitting) perfectly; properly, without fail",popular; JLPT N1; onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),ちちはお金のお札を綺麗にきっちりとそろえて財布にしまっている。; 夫はいつもその日使ったお金の金額をきっちりと管理している。
きっぱり,kippari,"clearly, plainly, distinctly, decisively, flatly, definitely, resolutely",popular; JLPT N1; onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),
ぎっしり,gisshiri,"tightly (packed), densely, closely, crammed",popular; JLPT N2; onomatopoeic or mimetic word; adverb; adverb taking the と particle,
ぎゅうぎゅう,gyuugyuu,"creaking, squeaking; packing in tightly, cramming, squeezing; hard (pressing, tying, twisting, etc.), tightly, with force; going hard (on someone), tormenting (e.g. with questions)",popular; onomatopoeic or mimetic word; adverb; adverb taking the と particle; な adjective; adjective (generic); noun taking the genitive case particle の,
ぎょっと,gyotto,being startled,popular; onomatopoeic or mimetic word; adverb; noun or participle taking the aux. verb する; verb (generic); noun (generic),
限り限り,girigiri,"just barely, only just, at the very limit, at the last moment",popular; onomatopoeic or mimetic word; usually written using kana alone; な adjective; adjective (generic); noun taking the genitive case particle の; noun; noun (generic); adverb,
くしゃくしゃ,kushakusha,"crumpled, rumpled, wrinkled, creased, tousled, disheveled, dishevelled; to be annoyed, to be irritated, to be upset; noisily (chewing)",popular; onomatopoeic or mimetic word; noun taking the genitive case particle の; adjective (generic); な adjective; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; noun (generic),テストがあまりにも悪い点数だったので親に見せる前にくしゃくしゃ丸めてゴミ箱に捨てた。; 友人は物事がうまくいかないときに頭をくしゃくしゃとかきむしるくせがある。
くたくた,kutakuta,"exhausted, worn out, dead tired; battered (esp. of clothing), worn out, ragged, tattered; (boiling) to a pulp, to a mash, to a mush",popular; onomatopoeic or mimetic word; な adjective; adjective (generic); adverb; adverb taking the と particle; noun taking the genitive case particle の,最近できた大きいデパートを一日中歩いたので足がくたくただ。; この野菜はくたくたに煮るととても美味しくなる。
くどくど,kudokudo,"tediously (explain, complain, etc.), repeatedly, persistently, insistently, ad nauseam, at great length",popular; onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),
くよくよ,kuyokuyo,"to fret (over), to brood (about), to mope, to worry; worriedly, (fretting) constantly, (worrying) over this and that, (obsessing) to no end",popular; onomatopoeic or mimetic word; noun or participle taking the aux. verb する; verb (generic); noun (generic); adverb; adverb taking the と particle,
くるくる,kurukuru,"whirling, revolving, spinning, going round and round; coiling around, winding around, rolling around; working tirelessly, working hard; constantly changing",popular; onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),くるくる回る洗濯機を見ていると同じく目がクルクル回ってしまう。; 友達の子供の髪の毛はクルクルと巻き毛になっていてまるで天使みたいだ。
ぐっすり,gussuri,"soundly (sleeping), fast (asleep)",popular; JLPT N3; onomatopoeic or mimetic word; adverb; adverb taking the と particle,和也： 顔がすっきりしてるね。健太郎： 昨日久しぶりにぐっすりと寝れたの。
ぐったり,guttari,"limply, wearily, listlessly, languidly, exhaustedly, unenergetically",popular; onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),
グラグラ,guragura,"wobbling, tottering, shaking, unstably, unsteadily; wavering (e.g. over a decision), dithering, indecisively; boiling up; dizzily, giddily",popular; onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic); noun taking the genitive case particle の; adjective (generic); な adjective,
ぐるぐる,guruguru,"(turning) round and round, in circles; wrapping around, winding around",popular; onomatopoeic or mimetic word; adverb; adverb taking the と particle,中華料理屋さんのテーブルはグルグル回る。; 誤ってサッカーボールが頭に当たって視界がぐるぐると回った。
こそこそ,kosokoso,"sneakily, secretly, stealthily, on the sly",popular; onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),先生： そこで何をこそこそしている？学生： 先生の誕生日プレゼントを用意していたんです。先生： こそこそしてよし！; 殿様： こそしてないで出て来い！しのびがいることは分かっているんだ。猫： にゃ～殿様： やっぱりコソコソしていたぞ！
こっそり,kossori,"stealthily, secretly, in secret",popular; JLPT N2; onomatopoeic or mimetic word; adverb; adverb taking the と particle,母の誕生日にこっそりとプレゼントを用意した。; 社員A： 今日は上司が一日中いないぞ！社員B： 今日はこっそり携帯をいじらなくてもいいぞ！
さっさと,sassato,"quickly, promptly, immediately, without delay, briskly, hurriedly, hastily; indifferently, coldly",popular; JLPT N2; onomatopoeic or mimetic word; adverb,
さっぱり,sappari,"feeling refreshed, feeling relieved; neat, tidy, clean; frank, open-hearted, plain, simple, light; completely, entirely; not in the least (with neg. verb), not at all; nothing at all, completely useless, hopeless, awful",popular; JLPT N3; onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic); な adjective; adjective (generic),
さらさら,sarasara,"with a rustling sound; rippling (of a stream, etc.), murmuring, purling; slurping down (ochazuke); quickly and easily (e.g. write a letter), with ease, smoothly, fluently; smooth and dry (hair, sand, etc.), silky, powdery (e.g. snow), free-flowing (e.g. blood)",popular; onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun taking the genitive case particle の; adjective (generic); noun or participle taking the aux. verb する; noun (generic),
ざっと,zatto,"roughly, approximately, round about, more or less; cursorily, briefly, quickly, lightly, roughly",popular; JLPT N3; onomatopoeic or mimetic word; adverb,
ざわざわ,zawazawa,"noisily (from many people talking), in a commotion; with a rustling sound (of leaves, branches, etc.), with a rippling sound (of the surface of a lake, etc.); feeling a chill, with a chill (up one's spine)",popular; onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),
しとしと,shitoshito,"gently (raining), drizzling; moist, damp",popular; onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic); な adjective; adjective (generic),
屡々,shibashiba,"often, again and again, frequently, repeatedly",popular; JLPT N3; usually written using kana alone; onomatopoeic or mimetic word; adverb,
しょんぼり,shonbori,"downheartedly, dejectedly, dispiritedly, despondently",popular; onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),
じっくり,jikkuri,"(slowly and) carefully, without haste, thoroughly, deliberately, closely, meticulously",popular; JLPT N1; onomatopoeic or mimetic word; adverb; adverb taking the と particle,
じめじめ,jimejime,"damp, humid, wet, clammy, muggy, soggy; gloomy, melancholy, depressing",popular; onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),
じゃぶじゃぶ,jabujabu,"splashing (water), splashing about, with a splash; vigorously, generously (e.g. pouring sauce), plenty; greatly (using or making money)",popular; onomatopoeic or mimetic word; adverb; adverb taking the と particle,
すっかり,sukkari,"all, completely, totally, entirely, thoroughly",popular; JLPT N4; onomatopoeic or mimetic word; adverb; adverb taking the と particle,
すっきり,sukkiri,"refreshingly, with a feeling of relief, pleasantly, (a weight) off one's shoulder; shapely, neatly, refinedly; cleanly, without trouble; clearly, plainly, distinctly; completely, thoroughly; not at all (with negative sentence), not even slightly",popular; JLPT N2; onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),
すっと,sutto,"straight, quickly, directly, all of a sudden; quietly, gently, softly; to feel refreshed, to feel satisfied",popular; JLPT N4; onomatopoeic or mimetic word; adverb; noun or participle taking the aux. verb する; verb (generic); noun (generic),
すやすや,suyasuya,"(sleeping) peacefully, quietly, soundly",popular; onomatopoeic or mimetic word; adverb; adverb taking the と particle,
ずるずる,zuruzuru,"(dragging a large or heavy item) slowly; (falling) little by little, (slipping) gradually, (drawing back) slowly, with a slither; on and on, while putting off, slovenly, interminably; with a slurp, with a sniffle; loose, lax, inconclusive, unresolved",popular; obsolete reading; JLPT N1; onomatopoeic or mimetic word; adverb; adverb taking the と particle; な adjective; adjective (generic),彼はずるずるとラーメンをすすった。; 彼女は重い荷物をずるずると引きずっていた。
せかせか,sekaseka,"restlessly, hurriedly, agitatedly, fidgeting",popular; onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),
そっと,sotto,"softly, gently, quietly, lightly; stealthily, secretly, in secret; to leave alone, to leave as it is",popular; JLPT N2; onomatopoeic or mimetic word; adverb; noun or participle taking the aux. verb する; verb (generic); noun (generic),
そわそわ,sowasowa,"restlessly, nervously, uneasily, in a fidget",popular; onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),
ぞろぞろ,zorozoro,"in a crowd, in droves, in a stream, in succession; crawling (of insects), swarming; dragging (e.g. along the ground), trailing, stretching out",popular; onomatopoeic or mimetic word; adverb; adverb taking the と particle,人の行列が蟻のようにぞろぞろと連なっていた。; イベントが終わったのだろう。会場から人がぞろぞろと出てきた。
たっぷり,tappuri,"plentifully, amply, abundantly, copiously, generously, fully, a lot; loosely, with room to spare, with enough space, (large) enough; a good (e.g. two weeks, ten kilometres), a full, at least, no less than",popular; JLPT N3; onomatopoeic or mimetic word; adverb; adverb taking the と particle; な adjective; adjective (generic); suffix; noun or participle taking the aux. verb する; noun (generic),
たらたら,taratara,"drop-by-drop, dripping, dribbling, in a trickle; incessantly (esp. speaking, e.g. complaints, compliments), in great profusion",popular; onomatopoeic or mimetic word; adverb; adverb taking the と particle,
だぶだぶ,dabudabu,"loose (of clothing), baggy; flabby, saggy; sloshing, slopping, overflowing; plenty (of pouring a liquid), drowning (e.g. in a sauce)",popular; JLPT N1; onomatopoeic or mimetic word; な adjective; adjective (generic); noun taking the genitive case particle の; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; noun (generic),2年前の自分の服を着るとサイズがちょっとダブダブだ。; 居酒屋でコップにダブダブと酒を注いでもらった。
だらだら,daradara,"in drops, dripping, trickling, streaming, flowing; gently (sloping); sluggishly, endlessly, lengthily; leisurely, idly, slowly, slovenly",popular; onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),今日は特に予定もないので、家でダラダラすることにしよう。ゲームしたり漫画読んだり、ネットしたり、のんびりしよう。; 今日はなんだかやる気がでない。ダラダラしてしまい勉強が手につかない。
ちぐはぐ,chiguhagu,"mismatched, odd, irregular; inconsistent, incoherent, confused",popular; onomatopoeic or mimetic word; な adjective; adjective (generic); noun; noun (generic),
ちゃんと,chanto,"diligently, seriously, earnestly, reliably, steadily, legitimately; perfectly, properly, exactly, orderly, punctually, regularly, safely, in good condition; sufficiently, satisfactorily; quickly",popular; JLPT N3; onomatopoeic or mimetic word; adverb; noun or participle taking the aux. verb する; verb (generic); noun (generic),家を出る前に、ちゃんと鍵を閉めたか確認するようにしています。; 杉本： みきちゃんってどんな子？ 釘本： 礼儀正しくって、約束も守るし、ちゃんとした人だよ。
ちょっぴり,choppiri,"a tiny bit, just a smidgin, a wee bit, very slightly",popular; onomatopoeic or mimetic word; colloquial; adverb; adverb taking the と particle,
ちらちら,chirachira,"falling lightly (e.g. snow, petals, confetti), fluttering; flickering, twinkling, glimmering, sparkling, dazzling; appearing and disappearing, catching glimpses; glancing (repeatedly); (hear, see) from time to time, intermittently",popular; onomatopoeic or mimetic word; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),桜がちらちらと舞っている。; 気になる男の子が隣の席に座ったのでちらちらと見てしまう。; テスト中に隣の席の人がチラチラとカンニングしてくる。
つるつる,tsurutsuru,"smooth, shiny, slick; slippery, greasy; slurping (noodles)",popular; onomatopoeic or mimetic word; な adjective; adjective (generic); noun taking the genitive case particle の; adverb; noun or participle taking the aux. verb する; noun (generic); adverb taking the と particle,昨日の雨で廊下が濡れてつるつるしているので、気をつけて歩く。
てくてく,tekuteku,"(walking a long distance) at a steady pace, intently, earnestly, single-mindedly, trudgingly, ploddingly",popular; onomatopoeic or mimetic word; adverb; adverb taking the と particle,
とんとん,tonton,"with a tap, with a knock, with a knocking sound, with a rap-tap; smoothly (proceed), without a hitch, without delay; even, equal, break-even",popular; onomatopoeic or mimetic word; adverb; adverb taking the と particle; な adjective; adjective (generic),
ドキッと,dokixtsuto,"being startled, getting a shock",popular; onomatopoeic or mimetic word; adverb; noun or participle taking the aux. verb する; verb (generic); noun (generic),
どしどし,doshidoshi,"rapidly, one after the other; without hesitation, unreservedly, freely; sound of tramping, stomping",popular; onomatopoeic or mimetic word; adverb; adverb taking the と particle,
